gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
flatulate,Flatulencia,du:ʃ duʃ,cʼɨʃ,,tɔʃ,tɔʃ,tᴐ́ç,tɔç,,tɔ̂:jʰ
shoot with arrow,Flechar,,,,kĩɲ,kʼḭ̃ɲ,kʼí,kʼigŋ,,kʼigŋ
focus?,Focar,hʌ̃:j hʌ̃:ɲ,hã:j̃,,hɔ̃j,hɔ̃̂:j̃,,,,hãj̃
smoke,Fumar,ʔahũ:t ʔahũ:d,ʔahũ:d,,ʔũn’,ʔũn̰ʔ,unʔ,ʔũn̰ʔ,ũn’,ʔũn̰ʔ
fill,Inchar,puh pu:h,pu:h,dapu:h,pux,,puhú,puhû:,puhu,puh
go,Ir,hṵ̃:m hãm,hã:m,ahõbm,hãm,hã̂:m,ham,hã̂:m,hãm,hãm
lick,Lamber,dɛ̃:p dɛ̃:b,nɛ̃:b,,nɛ̃̌p,n̰ɛ̃p,n’ɛm’,nʔɛ̃mʔ,,
wash,Lavar,cʼɨ̰:t cʼɨ̰:d,cʼɨ̰:d,,cid,cʼid,,cʼidn ,siidn,cʼidn
sharpen?,Lavrar,ʃәk ʃәg,ʃәg,asәk,ʃək,ʃәk,sʼɨgŋ,cәgn,sәk,cәk 
chew,Mastigar,waʔ ʔawa̰:ʔ,ʔa wa̰:ʔ,je wa,ʔaw’,ʔa waʔ,yaʼawʔ,ʔʔa̰wʔ,,
tell lie,Mentir,,,,tɨ̌x,tɨ̌:x,tɨh,tɨh,,
submerge,Mergulhar,hop hob,hob,,hop,hop,hóp,hop,hop,hop
ask for,Pedir 1,cʼɛ̃:ʔ cʼɛ̰̃:ʔ,cʼɛ̰̃:h,,,,,,,
ask for,Pedir 2,,,,ʔã̌x,,,ʔǐ:h,ih,ʔih
hang; suspend,Pendurar 1,dʌk dʌg,dʌg,,dak,dak,,dʼak,,
hang; suspend,Pendurar 2,,,,kaʔ,kʼaʔ,,kʼãʔ,,kʼãʔ
pound with pestle,Pilar,to:k tog,tog,eto:k,tǒk,tok,tók,tok,tok,tok
plant,Plantar,jo:bm,jo:bm,ejo:bm,jũ̌m,jũ̌:m,yum,jũ̌:m,yũm,jũm
jump,Pular,cʼәk,cʼәg,,cək,cʼәk,,cʼә̰k,sәәk,cʼә̰k
pull,Puxar,hә:k hәg,kɨg,,xə̌k,xәk,kәk,kәk,kәk,kәk
burn,Queimar,hɔ̃h hɔ̃:h,hɔ̃:h,,hɔ̃̂,hɔ̃̂:,hᴐ̃́,hɔ̃̂:,hᴐ̃,hɔ̃:
want,Querer,,,,tuk,tuk ,tút,tuk ,tuk,tuk 
split,Rachar,,,,,,,pobm,pobm,pobm
grate,Ralar,hʌ̃p hʌ̃b,hãb,ehʌ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p
scratch,Rasgar 1,ʃɛ̃:t ʃɛ̰̃:d,ʃɛ̰̃:d,kasẽ:t,,,,,,
scratch,Rasgar 2,,,,,,,cɛ̌̃:wʔ,sɛ̃w’,cɛ̃w̰ʔ
scrape,Raspar 1,hap,hab,,xɛp,xɛp,,hap,,
scrape,Raspar 2,,,,,,,hɛw,hɛw,hɛw
paddle,Remar 1,ʔahәʔ hә:ʔ,ʔahәʔ,hә:,,,,,,
paddle,Remar 2,,,,xɛ̃̌ʔ,xɛ̃̌:ʔ,,hɛ̃j̰̃ʔ,hɛ̃y’,hɛ̃j̰̃ʔ
breathe,Respirar,,hãg,,hɛ̃g ʃɔʔ,hɛg ʃɔʔ,hãg,hãŋ,hãg,hãŋ
clear brush/trees,Roçar 2,,,,,,,bʼɔ̰t,,bʼɔ̰t
snore,Roncar,hṵ̃:k hṵ̃:g,hɔ̃:g,,xɔ̃̌k,xɔ̃̌:k,,hũ̌:k,tũhuk,hũk
steal,Roubar,cʼә̰:k cʼә:g,cʼә̰:kŋ,ecʼә:k,cə̌k,cʼә̌:k,,cʼḛk,sʼek,cʼḛj
miss (someone; something),Saudade,kʼʌ:bm,kʼa:bm,,,,,,,
dry,Secar 1,,,,xɔ̌p,xɔp ,,hɔp,,hɔp
dry,Secar 2,wo:ɟ wo:j,wo:j,hawo:ɟɲ,,,,,,
hold,Segurar,tɔdn,,,tɔdn,tɔdn,,,,­
sit,Sentar,,,,pɛ̂bm,pɛ̂:bm,pɛ́m,pɛ̃m,pɛ̃m,pɛ̃m
hiccup,Soluçar,,,,,,sәbәk,ʃәbʼә̰k,mbәәk,bʼә̰k
blow,Soprar 1,hu:h,,,,xǔ:ʔ,,,,
cast spell,Soprar 2,wɔh,,,wɔh,wɔh,,,,
blow,Soprar 3,pahu:ɟɲ pahu:j,pahu:j,pahu:ɟɲ,hũ̌t,    hũ̌:t,,pũhũ̌:t,pũhut,pũhũt
shoot with blowgun zarabatana,Soprar com,ʔeʃo:bm ʔeʃo:w,,eso:bm,ʃɔw,ʃɔw,sᴐ́w,cɔw,sᴐw’,cɔw
ascend,Subir (beira-rio),ʃɔp ʃɔb,ʃɔp,,ʃɔ̌p,ʃɔ̌:p,sᴐ́p,cɔp,sᴐp,cɔp
go upriver,Subir rio,,,,pɛ̂,pɛ̂:,pɛ́,pɛ̂:,pɛ,pɛ
shoot with slingshot,Tecar (??),,,,wɔ̃̌p,wɔ̃p,,w̰ʔɔ̃p,,
fear,Temer,ʔɨ̃:m ʔʌ̃m,ʔɨ̃:m,eɨ̃ɨ̃m,ʔã̂m,ʔã̂:m,ᴐ́m,ʔɔ̃m,ᴐ̃m,ʔɔ̃m
be; exist,Ter 1,nʌ̃h nʌ̃:,nã:,,,,,,,
be; exist,Ter 2,,,,nĩ̂,nĩ̂:,,nĩ̂:,ni,nĩ
be greasy; fat,Ter Gordura,ʃɨdn,ʃɨdn,,,,,,,
fish with timbo poison,Tinguijar,tә:dn,,,tedn,tedn,tә́dn,tәdn,tәdn,tәdn
take,Tirar,do:ʔ doʔ,,,dǒʔ,dǒ:ʔ,ndʼoʔ,dʼo̰ʔ,ndo’,dʼo̰ʔ
toast,Torrar 1,,,,xɛ̃̂n,xɛ̃̂:n,,kɛ̃̂:n,,
toast,Torrar 2,ʃɔ̃:ɲ ʃɔ̃:j,ʃɔ̃:j,,,,,,,
urinate,Urinar 1,,,,ʃǐʔ,ʃiʔ,,ciʔ,si’,ciʔ
urinate,Urinar 2,kʼʌ:ʃ,kʼʌ:ʃ,,,,,,,
sweep,Varrer,,ha:p ha:b,,xɛ̌p,xɛ̌:p,,hεp,,hεb
come,Vir,,,,nɛ̃̂d,nɛ̃d,nɛ́n,nɛ̃n,nɛdn,nɛ̃n
return,Voltar 1,jә:h jәh,,,jə̂,jә̂:,,jê:,,
return,Voltar 2,ba:ɟɲ baj,,,bɛ̂j jə̂,bɛj,,bʼa̰j,mbaay,bʼa̰j
River Indian,Etnia Tukano,,,,wɔ̌h,wɔ̌:h,wᴐ̀h,wɔ̌:h,wᴐ́h,wɔ̌:h
people,Gente 1,nãdәb,nɨdәb,nadәb,dəw,dәw,,,,
people,Gente 2,jihub,juhub,,dəwxup,xup,,hup,,juhup
mythical hero,Heroi mitico,,,,kɨ̃̌ɲ,kʼɨ̃̂:ɲ̰,,kʼɨ̃̂:ɲ̰,,kʼɨ̃̂:ɲ̰
man,Homem 2,mãɾahud,mãɾahud,,xut,xut,,,,
boy,Menino,ta̰:h ta:h,ta̰:h,,tɛ̂,tɛ̂:,tɛ̃́h,tɛ̃h,tɛ̃́h,tɛ̃̂:h
adolescent girl,Moça 1,,,,ʃâw,ʔãjãʃǎ:w,,tãʔãʃǎ:w,,tɨ̃hĩhcǎ:w
adolescent girl,Moça 2,mãɾu:ʃ,mãɾu:ɟ,,,,,,,
woman,Mulher,ʔɨ̃:ɲ ʔɨ̃:j̃,ʔɨ̃:ɲ,,ʔã̂j,ʔã̂:j̃,,ʔãj̃,,ʔã̂:j̃
shaman,Paje,ʃә:w,ʃә:w,sә:w,ʃəw,ʃә̂:w,sә́w,cә̂:w,sә́w,cә̂:w
old man,Velho,hәdna̰:ʔ,wah,wahʼ?:,xuthədn xutwâ xutwǎh,hә̌dn,wәhә́dn,wәhә̌dn,,wah
tonsil; lymph node,Amidala,kʼa:w,,,,kʼɛ̃:w,,kakʼǎ:w kakʼaw,,
beard,Barba,,,,ʃugwɛ̃w’,wɛ̃w̃ʔ,,wɛ̃̌:mʔ,,
stomach,Barriga 1,,,,tɔʔ,tɔʔ,,toʔ tǐbm,,
stomach,Barriga 2,wog,wog,wog,,wɔ̌:k,,,,
moustache,Bigode,nɔ̃ ʃu:g,nɔ̃ ʃu:g,,nɔ̃h ʃug,nɔ̃ ʃu:g  ,nᴐh súgŋ,nɔ̃ ʃu:gŋ,,
mouth,Boca,nɔ̃:h,nɔ̃:h,no:h,nɔ̃h,nɔ̃h,,nɔ̃h kʼǒ̰:dn,nᴐh koódn,nɔ̃h kʼo̰dn
cheek,Bochecha,mãwo̰:h,wɔ:h nẽmõwo̰:h,,wɔ̂,wɔ̂:,,ndɔwɔ̌:h,nᴐwwᴐ́h,nãwɔ̌:h
arm,Braço,mõ:h,mõ:h,mo:h,mĩnɔ̃h,,,mɔ̃mũ̌:j̃,,
head,Cabeça,nũ:h,nũ:h,nu:h,nũh,nũh,núh,nũh,nuh,nũ̌:h
hair,Cabelo,,,,pat,pǎ:t  pat,pã̀,pǎ̃:t,pãt,pǎ̃:t
meat,Carne,dab,dab,dab,dɛp,dɛp,,dʼa̰p,ndaap,dʼǎ̰:p
body,Corpo,hub,hub,,xup,xub,,hub ʃap,,
spine,Costas 1,,,,tǐʃ,tǐ:ʃ,,tǐ:ç,,
back,Costas 2,jijɔʔ,nẽjɔʔ,,,,,,,
rib,Costela 1,,,,xǒʔ,xoʔ,,hohoʔ,hohó’,hohoʔ
rib,Costela 2,kaɾapaʔ,kaɾapaʔ,,,,,,,
elbow,Cotovelo,ʃug,ʃug,,ʃɔ̌gŋ,ʃǒ:gŋ,,,yoyóg,jojogŋ
feces,Fezes,ja̰:ʔ,ja̰:h,jʼa:,jɛ̌ʔ,jɛ̌:ʔ,yʼɛ̀ʔ,jɛ̌:ʔ,yɛ́’,jɛ̌:ʔ
liver,Figado,ho:h,ho:h,ho:h,,,hᴐ́,hɔ̂:,hᴐ,hɔ̂:h
genitals,Genitalia,bo̰:j,bɔ̰:j,,bôj,bɔ̂:j,,bʼɔ̌:j,,
intestines,Intestino,,,,jɛ̌ʔpĩ̂n,jɛʔpĩ̂:n,,pĩ̌:n,,
knee,Joelho 1,,,,wãndɛh,wɔ̃dɛ̃h,,wɔ̃nʔɛ̃̂:,,
knee,Joelho 2,taɾodnũ:h,kaɾonũ:h,,,,,,,cʼәgn̰ṵ̃̌:h
tongue,Lingua,nãkʼa̰:d,nãkʼa̰:d,nagʼa:d,nɔ̃hkɛ̂d,nɔ̃hkʼɛd,,nɔ̃hkʼɛ̰̌:dn,,nɔ̃hkʼɛ̌̂:dn
hand,Mão,mɔ̃:h,nɛ̃mɔ̃:h,mo:h,,mĩnɔ̃h,,nɛ̃pũh,pᴐ̃h,pɔ̃̂:h
right hand,Mão direita,tahub,nẽmɔ̃hub,,ʃôbxup,xup,,mũhǔ:p,,
left hand,Mao esquerda,ʃɨ̰̃:ʔ,ʃã̰:h,sʼɨ̃ɨ̃,ʃôbʃã̌h,ʃã̌h,sᴐ̃̀h,cɔ̌̃h,,cẫh
nose,Nariz,,,,tɔ̂ɟ,tô:ɟ,,tǒ:ɟɲ,,tô:ɟɲ
ear,Orelha,nabu:j,nabu:j,nabu:j,xũ̂j,,,bʼɔ̰ ɾɔk,mbuy ɾᴐk,bʼṵj ɾɔk
bone,Osso 1,,,,kɛ̂g,kʼɛ̂:g,,kʼɛ̰̌:gŋ,,
bone,Osso 2,kɨ̰:ʔ,kә̰:h,kʼ?:,,,kʼɛ̀gŋ,,kә́’,kә̂:ʔ
chest,Peito,,,,,,hũʔ,hɔ̃ʔtә̂:gŋ,hᴐ̃tәg,hɔ̃ʔtә̌:gŋ
adam’s apple,Pomo-de-adão,,,,ʔɔ̃̌ŋ’,ʔɔ̃ŋʔ,,ʔɔ̃ŋʔ,,
pubic hair,Pubis,ʃә:dn,ʃә:dn,sә:dn,câdn,ʃadn,sán,cãn,sãn,cã̌:n
lung,Pulmão,ʃapu:w,ʃapu:w,sapu:w,,,,pupuh,pupúh,pupû:h
chin,Queixo,ba̰:h,ba̰:h,,təgbǎx,báx,,,,
saliva,Saliva 1,cʼɔʃ,cʼɔʃ,, cɔ̌ʃ,cʼɔʃ,,,,cʼɔjh
saliva,Saliva 2,,,,,,,nɔ̃hʃǎ:w,nᴐhsáw,nɔ̃hcǎ:w
breast,Seio,,,,pûdn,pû:dn,pùdn,pû:dn,púdn,pû:dn
eyebrow,Sobrancelha 1,kʼә:dn,kʼɨ:dn,,,,,,,
forehead,Testa,mãboɾə,mãbuɾə,,,,,,,
navel,Umbigo,,,,pǔʃ,pǔ:ʃ,pùç,pǔ:ç,,popû:jʰ
fingernail,Unha,pɔ̃hbɔg,,,ʃɔbbɔk,bɔk,,bʼɔk,,pɔ̃hbʼɔ̰k mɔ̃hbʼɔ̰k
bee,Abelha (generico),hǐ:h,hǐ:h,,,hĩh,,,,hĩ̌:h
spider,Aranha 1,ʃãnãjo:ʔ,ʃãnẽjo:h,sanajo:h sanajo:,jɔʔ,jɔ̌:ʔ,,mbɔjɔʔ,yᴐ’,jɔ̌:ʔ
spider,Aranha 2,,,,ʃũ̌h,ʃũ̌:h,,cũ̌:h,sũh,cũ̌:h
cockroach,Barata 1,,,,ndǎp,nǎ:p,ndadáp,ndaɾap,ndadáp,ndahndǎ:p
cockroach,Barata 2,kabataɾə,kamãtaɾə,kamaɾa CHECK,,,,,,
Chigoe flea (Tunda penetrans),bicho-do-pé,dɛdn,dɛdn,dɛdn,dɛdn,dɛdn,nʼán,nʔǎ̃n,naadn,nʔǎ̃n
butterfly,Borboleta (generico),,,,mbɛbm,mɛbm,,bʼḛbʼḛp,,bebep
morpho butterfly (Morpho sp.),Borboleta,,,,mbɛbm xow’,xowʔ,kᴐɾᴐhᴐ̀gŋ,kɔɾɔhɔ̌:gŋ,hᴐg,hɔgŋ
wasp,Caba (generico),mãʔjuʔ,,,j’ɔ̌ʔ,jʔɔ̌:ʔ,yᴐ̀ʔ,jɔ̌:ʔ,yᴐ́’,jɔ̌:ʔ
wasp sp.,Caba 1 (sp.),ʔatɨ:d,ʔatɨ:d,atә:d,,,,,,
wasp sp.,Caba 2 (sp.),mũ:k,mũ:kŋ,,mũ̂,mũ̃̂:,mú,mũ̃̂:,muh,mũ̌:h
tick,Carrapato 1,,,,ʃɛ̂bm,ʃě:bm,tahsèbm,cě:bm,,cê:bm
tick,Carrapato 2,kʼawaɾɨ̰:b,kʼɨɾɨ̰:b,gawaɾʼә:b/gawaɾʼɨ:b,,,,,,
centopede,Centopeia,ʃʌ:j,,sә:j,kəw,ʃâ:j,sày,cǎ:j,,
termite,Cupim,,,,buʔ ʔɔ̃̂w,buʔ,mbʼúʔ,bʼṵʔ,mbuu’,bʼṵʔ
scorpion,Escorpiao,ʃʌ:j,ʃaj,sә:j,ʃâj,ʃaj,,,,caj
ant sp.,Formiga 1 (sp.),,,,,mob,,bobobm,,
ant sp.,Formiga 2 (sp.),kaɾaʔwaʔ,kaɾaʔwɛ̃t,kaɾewa,xaw’,xawʔ,,,,
army ant sp. (sp.),Formiga-correiçao 1,kako:ʃ,kuku:ʃ,,xoʃ,xoʃ,kóç,koç,,kô:jʰ
army ant sp. (sp.),Formiga-correiçao 2,ʃɨ̰̃:w,ʃã̰:w,sʼɨ̃ɨ̃w,ʃã̂w,ʃã̂:w,sàw,cǎ:w,,câ:w
sauva ant (sp.) (comestivel),Formiga-sauva 1,,,,hǔd,hǔ:d,hùdn,hǔ:dn,húdn,hǔ:dn
sauva ant (sp.) (comestivel),Formiga-sauva 2,wәg,wәg,,wək,wәk,wә́k,wәk,,wәk wә̌:gʔ
cricket,Grilo 1,,,,ʃuc ebm geɾal,ʃǔ:c,,cǔ̃:cʔ,,cũ̌:ɟʔ
cricket,Grilo 2,,,,,dǐ:t,,,,dî:dʔ
larva; caterpillar,Larvas,,,,tõ̌h,,,pɔpɔ̌:p,pᴐp,pɔ̂:p
honey,Mel,,,,nɛ̃̂g,nɛ̃̂:g,,nɛ̃̌:ŋ,nɛ́g,nɛ̃̌:ŋ
fly,Mosca,,,,cɔp,cʼɔ̰p,,cʼɔ̰p,,cʼɔ̰p
horsefly,Mutuca,bugŋ,buk,,bux,bux,mbʼúh,bʼṵh,mbuuh,bʼṵh
louse,Piolho,nã:m,nã:m,na:bm,nɛ̃̂m,nɛ̃̂:m,nɛ̀m,nɛ̃̌:m,nɛ́bm,nɛ̃̂:m
blackfly,Pium,,hṵ:gŋ,,hǒh,hǒ:h,húʔ,huʔ,hu’,huʔ
bullet ant (Paraponera clavata),Tocandira,wɨ:w,wɨ:w,wɨ:w,wɨ̂w,wɨ̂:w,wìw,wǐ:w,wíw,wî:w
firefly,Vaga-lume,hu:j,hu:j,,xǔj,xǔ:j,ih,huhǔ:j,huhúy,huhû:j
above,Acima 1,,tajɔ,,pɔx,,,hijoʔ,,
above,Acima 2,sakut,sukut,,,xô:d,,,,hǒ:dn
inside,Dentro,ʃu:dn,ʃu:dn,su:dn,kɛd,,,,,
under,Embaixo,ʔɨ:t ʔɨt,ʔɨt,ɨt hẽ,bɨ̌t,,,,,
deep,Fundo 1,,,,tû,,,wã̂:n,wãn,wã̂:n
deep,Fundo 2,tɔ̰̃p,tɔ̰̃p,,,,,,,
far,Longe 1,,0,,hɔ̃t,hɔ̃̌t,,hɔt,hᴐt,hɔt
upriver,Rio acima,takʼa:d,takʼa:d,,xôd,,,,,
village,Aldeia,,,,nĩh xɔ̌t,jɛ̃m,hãyám,hããm,yãm,jã̌:m
caatinga (area of sandy soil),Caatinga,wә̰:g,wә̰:g,,wə̌k,wә̰̌:k,,,,wә̰̂:g
overgrown fields,Capoeira,kʼәwpa:h,kʼәpa:h,,w’ǎh,ʔwah,,,,
fence,Cerca 1,,,,ʃâd,ʃâ:d,,hiʃǎ:dn,,
fence,Cerca 2,ʃu:j,ʃu:j,,,,,,,
overgrown,Cerrado (ervas),tagawә:ɟ,,,w’eɲ’,wʔeɟ,,,,
garden,Roca 1,kʼә:w,kʼә:w,,kâw,kʼâ:w,,,,
garden,Roca 2,,,,,,,bʼɔ̰̌:t,mbᴐᴐ́t,bʼɔ̰̌:t
rainbow,Arco-iris,sapahɔ̃d,mɔ̃hɔ̃d,,w’ad,,,,,
sand,Areia 1,ho:d,hu:d,ho:d,,,,,,
sand,Areia 2,,,,xɛ̂w,,,wɛgŋjǒ:h,,wê:gŋ
sky,Ceu 1,,poh,wә puh,pɔx,pɔx,,poh,,poh
rain,Chuva,do:ʃ doɟ,du:ʃ,ado:s,dɔɟ,doɟ,,dʼo̰ɟɲ,,dʼo̰jɟɲ
star,Estrela,,,,m’ɛ̃̌h,m̰ʔɛ̃̌:h,,weɾom̰ʔɛ̰̃h,,weɾom̰ʔɛ̃̌:h
lake,Lago,mɔ̃:h,,,m’ɔ̃h pequeno mɔ̃̂ gɾande,m̰ɔ̃h,mᴐ́h,mɔ̃h,mᴐh,mɔ̃̌:h
fog,Neblina,cʼɨ:g,cʼɨ:g,acɨg,bɨg ʔû,,,cʼɨ̰̌:k,sɨɨ́k,cʼɨ̰̌:k
stone; hill,Pedra 1,,,,pǎʃ,pǎ:ʃ,,pǎ:ç,,pâ:jʰ
stone; hill,Pedra 2,pʌʔ,pʌʔ,pʌ,,,,,,
river,Rio,tãmi:̃h,tãmĩ:h,tami:h,ndə̌x pôg,mĩʔ,ndehmí,ndehmĩh,mi,mĩ̌:h
sun,Sol 1,,,,xɨtɨ̂bm xotɨ̂bm,xɔtɨbm,,wɛɾɔ̂:,wɛɾhᴐ,wɛɾhɔ̂:h
sun,Sol 2,papɨ̃:j,papã:j,papɨ̃ɨ̃j,,,,,,
ground,Solo,tũ:ʔ,tũ:ʔ,,tû,tû:,tù,tû:,túh,tǔ:h
earth; land,Terra,cʼʌgŋ,cʼʌkŋ,cʌgŋ,cax,cʼax,,cʼa̰h,saah,cʼah
thunder; lightning,Trovao 1,,,,pɛ̃j,pɛ̃j,,pɛ̃j,pɛ̃y,pɛ̃j
thunder; lightning,Trovao 2,daɾugŋ,nãɾukŋ,daɾugŋ,,,,,,
wind,Vento,baʔṵd,ho:d,,hǒt,hǒ:t,mbúdn,bohǒ:t,wohót,wohô:t
grandfather,Avô,ʔo:w,ʔɔ:w,o:w,xed avó: pə̌ʔ,,wʼә̀t,ʔuw,,ʔǔ:wah
affine,Cunhado,jo̰:h,jɔ̰:h,jʼo:h,yɔ̂,jɔ̂:,,ʔajɔ̌:h,yᴐ́h,jɔ̂:h
wife,Esposa,ʔɨ̃:m ʔʌ̃m,ʔɨ̃̃:m,ɨ̃ɨ̃m,ʔã̂m,ʔã̂:m,,,,
daughter,Filha,to:g,tu:g,to:g,tôg,tôg,tógŋ,tôg,tóg,tôg
sister,Irma,ʔãɲ,ʔãj̃,ʌ̃ɲ,wɔh ʔã̂j,wәʔãj̃,,,,
mother,Mãe,ʔɨ̃:n,ʔaʔɨ̃n,ɨ̃ɨ̃n,mã̌m mɛ̃ʔ voc,,hiyóʔ,ʔĩ̌:n,,
husband,Marido,patug,tapatug,patug,tug,tug,,,,
father,Pai 2,ʔe:ʔ,ʔe:ʔ,,ʔɛh voc,ʔɛh,,ʔɛ̌:h,,
uncle (mother’s brother),Tio (materno),kʼɔd kʼad,kʼɔd,gᴐd,kɔt also sogɾo,kʼɔ̰t,,kʼɔ̰t,kᴐᴐt,kʼɔ̰ʔ
fish,Peixe (generico),hɨ̰̃:b,hã̴̰:b,tahʼɨ̃ɨ̃b,hã̌p,hǎ̃:p,hә́bm,hɔ̃̌:p,hᴐ̃p,hɔ̃̂:p
acará fish (Familia dos ciclideos),Acará (sp.),dobm,dobm,,dobm,dobm,ndʼóbm,dʼo̰bm,ndoobm,dʼo̰bm
aracu fish (familia dos anostomideos),Aracu (sp.),,,,xɔt,xɔt,pᴐhᴐ́t,pɔhɔt,wᴐhᴐt,wɔhɔt
stingray (Potamotrygon sp.),Arraia,cʼa̰:h,cʼɛ̰̌:ʔ,cʼa:,cɛ̌ʔ,cʼɛ̰̌:ʔ,sʼɛ̀ʔ,cʼɛ̰̌:ʔ,sɛɛ́’,cʼɛ̰̌:ʔ
fish sp. (Erythrinus sp.),jeju (sp.),dɔg,,,dɔk,dɔk,,dʼɔ̰k,ndᴐᴐk,dʼɔ̰k
swamp eel (Synbranchus marmoratus),Muçum,,cʼog,,cog,cʼog,,,,
Amazonian manatee (Trichechus inunguis),Peixe-boi,jaɟ,ja̰:ɟ,wajac,jâc,jâ:c,,,,
fish (esp. minnows),Piaba (sp.),,,,j’ôg,jô̰:g,yo,jǒ:gŋ,yoog,jǒ:gŋ
electric eel (Electrophorus electricus),Poraque,cʼabud,cʼabud,cabud,but,but,suʼbút,cʼubʼṵt,mbuut,bʼṵt
barred sorubim (Pseudoplatystoma fasciatus),Surubim,,,,pɔ̌j,pɔ̌:j,,pɔ̌:j,,pɔ̌:j
brown hoplo (catfish) (Hoplosternum littorale),Tambuata,,,,ʔɔ̃̌ʔ,ʔɔ̌̃:ʔ,ᴐ̀ʔ,ʔɔ̌:ʔ,,ʔɔ̌:ʔ
trahira fish (Hoplias sp.),Traira,bo:j,,bo:j,bôj,bô:j,mbʼòy,bʼǒ̰:j,mboóy,bʼô̰:j
scale,Escama,pʌd ,pʌd ,,pec,pec,pés,pec,,pě:ɟ
bait,Isca,nɨ̃:ʔ,nɨ̃:ʔ,,nĩʔ,nĩ̌:ʔ,,nɨ̃̌:w̰ʔ,,nɨ̃̌:wʔ
fish lice,Piolho-de-peixe,jɛɟ,,,jɛ̂,jɛ̂:,,,,
1sg,1sg Eu,ʔɨ̃h,ʔɨ̃h,ɨ̃ɨ̃h,ʔãh,ʔãh,ã́h,ʔãh,,ʔãh
2sg,2sg Voce,ʔɔ̃m,ʔɔ̃m,õm,ʔãm,ʔãm,ám,ʔãm,,ʔã̌m
3sg,3sg Ele,,,,tih,tih,tɨh,tɨh,tɨh,tɨh
2pl,2pl Voces,,,,ndɨg,nɨ̃g,nɨ́gŋ,nɨ̃ŋ,nɨg,nɨ̃̌:ŋ
3pl,3pl Eles,,,,hid,hid,hɨ́dn,hɨdn,,hɨ̃̌:n
how,Como (inter.),,,,hĩn’,hĩnĩʔ,,hĩnʔ,,
no,Não 1,do:h,du:h,do:h,?,dǒ̃h,,nɨ̃h,,nãh
no,Não 2,mã:ʔ,,,mɛ̃h,mɛ̃h,,pã̌:,,
reported evidential,Reportativo,mɨ̃h,,,mãh,mãh,mah,mãh,,
